"","Year","Name","BPWin","Prob","LL","UL"
"Titanic",1997,"Titanic",1,0.323829878025476,0.168251001335113,0.487189522805961
"As Good as It Gets",1997,"As Good as It Gets",0,0.0917588066826382,0.0170410636504145,0.182073638704037
"The Full Monty",1997,"The Full Monty",0,0.190008406923685,0.080185078424746,0.326866177864233
"Good Will Hunting",1997,"Good Will Hunting",0,0.0798931159243242,0.0237575863289607,0.149388061569265
"L.A. Confidential",1997,"L.A. Confidential",0,0.314509792443877,0.15741357626024,0.469140128395686
"Shakespeare in Love",1998,"Shakespeare in Love",1,0.202075011434443,0.0876934902795552,0.343802263943417
"Elizabeth",1998,"Elizabeth",0,0.01262278023861,0.00223115079365079,0.0259464592011762
"Life Is Beautiful",1998,"Life Is Beautiful",0,0.0265181330133314,0.00239750783105573,0.0582934037884555
"Saving Private Ryan",1998,"Saving Private Ryan",0,0.756137021327726,0.608680787811223,0.884435944188996
"The Thin Red Line",1998,"The Thin Red Line",0,0.002647053985889,0,0.00778067326974562
"American Beauty",1999,"American Beauty",1,0.809333495406546,0.662738607128079,0.93593409610984
"The Cider House Rules",1999,"The Cider House Rules",0,0.0894453237385057,0.0143580909919951,0.17605792770165
"The Green Mile",1999,"The Green Mile",0,0.0515099317439456,0.00881687449718423,0.102148939374068
"The Insider",1999,"The Insider",0,0.0162557979683336,0,0.0359988341949042
"The Sixth Sense",1999,"The Sixth Sense",0,0.0334554511426687,0.00619200932920955,0.0712706212706213
"Gladiator",2000,"Gladiator",1,0.436091303389544,0.248765017753782,0.618494314851717
"Chocolat",2000,"Chocolat",0,0.033986158737439,0.00414427589959867,0.0743502452595358
"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon",0,0.321322165463356,0.171275736502026,0.476235688215589
"Erin Brockovich",2000,"Erin Brockovich",0,0.0309751070011837,0.00510863106771035,0.0629451808556286
"Traffic",2000,"Traffic",0,0.177625265408477,0.0727204856880667,0.308495503464544
"A Beautiful Mind",2001,"A Beautiful Mind",1,0.404355393869388,0.238042620363062,0.584831542825947
